,Company Name,Industry,Symbol,Series,ISIN Code
1,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
2,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
3,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
4,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
5,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
6,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
7,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
8,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
9,Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
10,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
11,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
12,Cairn India Ltd.,ENERGY,CAIRN,EQ,INE910H01017
13,Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
14,Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
15,Dr. Reddyâ€™s Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
16,GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
17,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01013
18,HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
19,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
20,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
21,Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
22,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
23,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
24,I T C Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
25,ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
26,Idea Cellular Ltd.,TELECOM,IDEA,EQ,INE669E01016
27,IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
28,Infosys Ltd.,IT,INFY,EQ,INE009A01021
29,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
30,Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
31,Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
32,Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
33,Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
34,NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
35,Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
36,Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
37,Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
38,Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
39,State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
40,Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
41,Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
42,Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
43,Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
44,Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
45,Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
46,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
47,Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
48,Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
49,Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01019
50,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
